#,Name,Start,Color
M1,Intro,0:00.000,336915
M2,Was ist die OSMF,2:00.043,336915
M3,Vorstandsarbeit bisher + Beitrag von Peda,7:05.043,336915
M4,AGM: Jahreshauptversammlung,18:47.951,336915
M5,Anträge,20:37.043,336915
M6,Ablauf der Wahl,22:06.451,336915
M7,STV Voting,27:24.894,336915
M8,Masseneintritt,33:32.491,336915
M9,Mitgliederstruktur der OSMF,35:21.491,336915
M10,Kandidaturprozedere,41:59.686,336915
M11,Übersicht über die Bewerber,47:18.686,336915
M12,Manifest von Tobias Knerr,47:53.686,336915
M14,Manifest von Jo Walsh,54:11.698,336915
M13,Manifest von Geoffrey Kateregga,55:46.090,336915
M15,Manifest von Joost Schouppe,59:24.968,336915
M16,Manifest von Guillaume Richard,1:04:10.157,336915
M17,Manifest von Miriam Gonzale,1:10:40.157,336915
M18,Manifest von Nuno,1:14:17.985,336915
M19,Frage 1: Was sind eure Aktivitäten in OSM?,1:23:19.936,336915
M20,Frage 2: Was qualifiziert dich zum Vorstand?,1:43:50.877,336915
M21,Frage 3: Sind OSMFs Ziele und Werte gut?,1:44:10.509,336915
M22,Frage 4: Alles rund um Mapper,1:48:45.509,336915
M23,Frage 5: Kannst du was nettes über deine Kollegen sagen?,2:07:42.663,336915
M24,Frage 6: Board Diversity,2:11:34.663,336915
M25,Frage 7: Interessenskonflikt,2:17:26.953,336915
M26,Frage 8: Termlimits,2:28:15.530,336915
M27,Frage 9: Brauchen wir bezahltes Personal?,2:36:48.740,336915
M28,Frage 10: Was sagst du zu organisiertem Editieren?,2:44:21.977,336915
M29,Frage 11: Was sagst du zu MicroGrants?,2:51:41.448,336915
M30,Frage 12: Wann darf ich Änderungen revertieren?,3:04:46.448,336915
M31,Frage 13: Kritik in sozialen Medien,3:11:27.448,336915
M32,Subjektive Bewertungen,3:19:13.572,336915
M33,Wahlkampf-Endphase,3:26:48.880,336915
M34,Wer wird Schatzmeister?,3:29:45.913,336915
M35,Finanzdienstleistung durch die OSMF,3:34:08.352,336915
M36,Hausmeisterthemen,3:37:05.279,336915
