#,Name,Start,End,Length,Color
R1,rausschneiden,18:17.000,18:37.000,0:20.000,
M1,Bewerberprozess,43:27.137,,,336915
M2,Tobias Knerr,49:21.443,,,336915
M9,Guillaume Rischard (Stereo),1:07:04.218,,,336915
M3,Q1 Tell us a little about your OSM activities,1:27:07.975,,,336915
M4,Q2 What do you think qualifies you for a position on the board of the OSMF?,1:49:16.695,,,336915
M5,Q7 Conflicts of interest,2:26:38.317,,,336915
M6,Q11 Deciding on who gets grants,3:03:47.422,,,336915
M8,Q12 Due diligence reverting edits,3:16:51.834,,,336915
M7,Q13 Criticism on social media ,3:23:32.274,,,336915
M10,TODO? Sollte das noch mit rein?,3:41:13.152,,,336915
M11,Hausmeisterei,3:57:10.982,,,336915
